variable_name,units,value,data_reference
theta_L2_E81,dimensionless,0.0,TO_DO
E_L2_E82,J_per_m3,181519.59230997914,TO_DO
l_L2_E82,metre,1.7919e-06,TO_DO
r_0_L2_E82,metre,5.785e-06,TO_DO
u_0_L2_E82,J_per_m3,0.7008447500964365,TO_DO
theta_L2_E82,dimensionless,0.0,TO_DO
u_ext_L2_E82,J_per_m3,0.0,TO_DO
E_L2_E83,J_per_m3,205072.86373682565,TO_DO
l_L2_E83,metre,6.947e-07,TO_DO
r_0_L2_E83,metre,5.046599999999999e-06,TO_DO
u_0_L2_E83,J_per_m3,2.51600560080556e-06,TO_DO
u_ext_L2_E83,J_per_m3,0.0,TO_DO
theta_L2_E83,dimensionless,0.0,TO_DO
E_L2_E84,J_per_m3,176912.86968462405,TO_DO
l_L2_E84,metre,7.0575e-06,TO_DO
r_0_L2_E84,metre,5.7819e-06,TO_DO
u_0_L2_E84,J_per_m3,7.548155044057037e-08,TO_DO
theta_L2_E84,dimensionless,0.0,TO_DO
u_ext_L2_E84,J_per_m3,0.0,TO_DO
E_L2_E85,J_per_m3,220522.94351944054,TO_DO
l_L2_E85,metre,1.3468e-06,TO_DO
r_0_L2_E85,metre,8.176699999999999e-06,TO_DO
u_0_L2_E85,J_per_m3,0.0019486551103966576,TO_DO
u_ext_L2_E85,J_per_m3,0.0,TO_DO
theta_L2_E85,dimensionless,0.0,TO_DO
u_ext_L2_E86,J_per_m3,0.0,TO_DO
u_0_L2_E86,J_per_m3,0.5463461253738373,TO_DO
theta_L2_E86,dimensionless,0.0,TO_DO
E_L2_E86,J_per_m3,254225.17144483532,TO_DO
l_L2_E86,metre,5.158e-06,TO_DO
r_0_L2_E86,metre,6.0968e-06,TO_DO
E_L2_E87,J_per_m3,131188.1029702105,TO_DO
l_L2_E87,metre,1.7345999999999999e-06,TO_DO
r_0_L2_E87,metre,6.7914e-06,TO_DO
u_0_L2_E87,J_per_m3,3.1652484621971745e-06,TO_DO
theta_L2_E87,dimensionless,0.0,TO_DO
u_ext_L2_E87,J_per_m3,0.0,TO_DO
E_L2_E88,J_per_m3,174448.59299304622,TO_DO
l_L2_E88,metre,8.0874e-06,TO_DO
r_0_L2_E88,metre,6.3189e-06,TO_DO
u_0_L2_E88,J_per_m3,1.2306851322918533e-05,TO_DO
u_ext_L2_E88,J_per_m3,0.0,TO_DO
theta_L2_E88,dimensionless,0.0,TO_DO
E_L2_E89,J_per_m3,196090.10858989702,TO_DO
l_L2_E89,metre,7.0505000000000005e-06,TO_DO
r_0_L2_E89,metre,1.9573e-06,TO_DO
u_0_L2_E89,J_per_m3,2.985417502734261e-06,TO_DO
u_ext_L2_E89,J_per_m3,0.0,TO_DO
theta_L2_E89,dimensionless,0.0,TO_DO
E_L2_E90,J_per_m3,176319.2591391229,TO_DO
l_L2_E90,metre,3.719e-07,TO_DO
r_0_L2_E90,metre,3.5889999999999996e-07,TO_DO
u_0_L2_E90,J_per_m3,4.374455316283762e-06,TO_DO
theta_L2_E90,dimensionless,0.0,TO_DO
u_ext_L2_E90,J_per_m3,0.0,TO_DO
E_L2_E91,J_per_m3,111139.60252233161,TO_DO
l_L2_E91,metre,8.1275e-06,TO_DO
r_0_L2_E91,metre,2.5777999999999997e-06,TO_DO
u_0_L2_E91,J_per_m3,0.0004901428160616531,TO_DO
u_ext_L2_E91,J_per_m3,0.0,TO_DO
theta_L2_E91,dimensionless,0.0,TO_DO
E_L2_E92,J_per_m3,171288.88273397612,TO_DO
l_L2_E92,metre,2.8863e-06,TO_DO
r_0_L2_E92,metre,1.2695e-06,TO_DO
u_0_L2_E92,J_per_m3,8.489577433823552e-08,TO_DO
theta_L2_E92,dimensionless,0.0,TO_DO
u_ext_L2_E92,J_per_m3,0.0,TO_DO
E_L2_E93,J_per_m3,143548.12737823575,TO_DO
l_L2_E93,metre,8.037000000000001e-06,TO_DO
r_0_L2_E93,metre,2.4506e-06,TO_DO
u_0_L2_E93,J_per_m3,0.052863976793300405,TO_DO
u_ext_L2_E93,J_per_m3,0.0,TO_DO
theta_L2_E93,dimensionless,0.0,TO_DO
E_L2_E94,J_per_m3,100353.3012435522,TO_DO
l_L2_E94,metre,3.9041e-06,TO_DO
r_0_L2_E94,metre,4.6627e-06,TO_DO
u_0_L2_E94,J_per_m3,0.0002255023695845182,TO_DO
theta_L2_E94,dimensionless,0.0,TO_DO
u_ext_L2_E94,J_per_m3,0.0,TO_DO
u_ext_L2_E95,J_per_m3,0.0,TO_DO
u_0_L2_E95,J_per_m3,8.610762091776358e-05,TO_DO
theta_L2_E95,dimensionless,0.0,TO_DO
E_L2_E95,J_per_m3,193810.37227320208,TO_DO
l_L2_E95,metre,3.6474e-06,TO_DO
r_0_L2_E95,metre,3.1373e-06,TO_DO
P_L2_E47_PI,J_per_m3,6666.12,TO_DO
P_L2_E48_PI,J_per_m3,6666.12,TO_DO
P_L2_E79_PI,J_per_m3,6666.12,TO_DO
P_L2_E9_PO,J_per_m3,666.612,TO_DO
P_L2_E13_PO,J_per_m3,666.612,TO_DO
P_L2_E16_PO,J_per_m3,666.612,TO_DO
P_L2_E20_PO,J_per_m3,666.612,TO_DO
P_L2_E40_PO,J_per_m3,666.612,TO_DO
P_L2_E45_PO,J_per_m3,666.612,TO_DO
P_L2_E46_PO,J_per_m3,666.612,TO_DO
